Month,Hour,temp_celsius,humidity,wind_speed,generation wind onshore,total load actual
12,18,13.49,71,2,924.0,32522.0
3,8,9.36,45,1,1142.0,29300.0
8,5,20.54,91,1,1981.0,22314.0
11,20,12.0,62,1,3203.0,36547.0
4,11,18.55,77,1,8317.0,28197.0
3,18,16.0,67,5,9308.0,24447.0
2,1,17.0,48,9,7105.0,23088.0
1,22,7.41,50,4,9968.0,25843.0
12,22,5.99,75,2,4912.0,29145.0
3,18,14.0,82,4,13127.0,32242.0
2,19,14.0,28,12,4557.0,34497.0
11,19,15.0,58,2,6308.0,34610.0
6,9,23.0,46,6,12069.0,33853.0
12,13,13.0,71,1,5400.0,36186.0
6,16,25.8,57,4,13066.0,30249.0
5,5,8.23,91,1,6265.0,20250.0
1,0,0.86,86,1,4052.0,23711.0
10,18,22.0,68,3,4814.0,29423.0
9,15,23.0,64,6,4563.0,34032.0
5,23,15.96,71,1,3373.0,27589.0
6,3,17.23,83,0,5901.0,24033.0
11,6,6.86,92,1,2851.0,23823.0
10,4,9.58,89,1,2405.0,21420.0
12,8,5.0,86,1,6265.0,34752.0
11,8,11.0,100,1,2765.0,32876.0
6,3,22.0,78,1,5367.0,24677.0
4,12,19.9,35,6,10731.0,31385.0
6,20,21.0,73,2,8700.0,40239.0
5,14,23.66,29,2,5236.0,30158.0
9,14,26.21,65,1,1459.0,25413.0
11,11,17.0,93,3,2163.0,33271.0
4,18,13.71,87,1,3316.0,28938.0
3,4,8.0,93,1,8003.0,22757.0
3,6,10.0,87,1,1354.0,24001.0
3,9,14.36,49,2,5118.0,30244.0
7,0,23.0,60,2,4179.0,25934.0
4,19,20.0,34,4,2758.0,36087.0
5,14,20.42,38,2,8209.0,30136.0
12,22,11.0,87,3,4215.0,33462.0
4,5,12.0,81,0,5029.0,21830.0
12,16,19.49,52,3,7351.0,31048.0
5,23,13.81,68,1,7036.0,25190.0
5,18,26.0,47,5,3476.0,31697.0
12,19,10.37,84,1,11276.0,31981.0
4,2,16.0,67,2,3244.0,21021.0
6,2,20.0,82,2,11491.0,23505.0
3,6,9.0,87,2,2017.0,27752.0
3,8,13.0,62,6,12039.0,33587.0
10,12,23.0,38,3,2145.0,37023.0
1,23,7.5,58,12,9578.0,31243.0
12,1,15.05,57,5,7745.0,23491.0
6,11,25.8,47,1,2545.0,31946.0
2,13,16.91,36,6,13157.0,35428.0
6,10,20.01,40,1,7211.0,30770.0
12,10,14.0,58,12,5951.0,25515.0
1,10,10.0,61,4,8588.0,31735.0
12,16,16.0,26,4,6263.0,28788.0
9,6,19.0,88,0,3553.0,20486.0
6,0,22.0,83,1,9802.0,25691.0
2,12,8.75,48,10,12676.0,32503.0
6,10,24.37,61,0,5026.0,28821.0
10,12,16.0,87,4,9587.0,28481.0
9,9,18.66,73,1,3870.0,30481.0
12,13,14.0,67,0,2988.0,34849.0
1,8,5.0,86,2,5778.0,23972.0
3,5,12.0,46,4,9102.0,22239.0
4,19,16.0,63,3,7785.0,25628.0
8,4,19.15,83,0,4944.0,24162.0
8,5,19.66,92,0,3069.0,23854.0
7,22,27.0,69,3,4442.0,31590.0
5,7,11.26,74,1,7182.0,26864.0
1,0,9.19,34,6,9291.0,28539.0
5,9,14.0,71,2,8819.0,25001.0
11,11,18.0,59,1,2128.0,31781.0
11,12,16.0,55,1,12414.0,35720.0
5,2,11.79,76,0,9151.0,23683.0
2,10,8.8,66,8,807.0,30992.0
7,9,22.5,50,5,6407.0,32631.0
5,8,14.0,82,0,5881.0,21080.0
11,23,8.49,87,2,5626.0,29814.0
4,6,15.35,76,1,8929.0,25982.0
2,11,11.3,70,12,7239.0,36634.0
7,1,18.48,87,1,7332.0,25841.0
2,11,13.09,48,8,12497.0,34725.0
8,18,29.0,66,5,5974.0,28937.0
8,19,26.59,58,5,4422.0,31132.0
12,3,1.0,80,1,8610.0,22762.0
8,10,25.0,69,1,1099.0,31601.0
1,21,2.06,78,1,6478.0,37982.0
1,7,4.0,100,1,1999.0,27700.0
2,6,4.62,80,2,7860.0,22171.0
3,16,16.0,63,5,13259.0,30719.0
8,19,34.06,43,3,9021.0,29590.0
9,11,18.68,88,1,4779.0,36076.0
4,19,16.0,59,2,4163.0,33153.0
11,2,7.0,93,2,2008.0,23655.0
8,16,32.0,43,4,992.0,35075.0
11,1,17.0,93,0,5554.0,23391.0
5,8,16.0,87,2,1484.0,29502.0
8,5,20.32,87,0,3915.0,23275.0
11,18,18.0,88,3,4401.0,33438.0
5,6,17.0,77,1,2681.0,23948.0
11,15,23.5,58,2,2112.0,31521.0
5,10,22.0,40,4,2523.0,23960.0
6,21,21.51,26,2,6167.0,29828.0
2,13,17.0,42,2,4162.0,35386.0
7,21,27.36,74,5,2747.0,35191.0
9,19,29.0,58,3,4429.0,27370.0
2,20,8.0,87,0,9989.0,29181.0
4,3,16.0,93,1,4264.0,20296.0
9,0,18.71,73,7,5660.0,26372.0
1,5,1.63,75,2,7812.0,22195.0
4,2,16.0,87,1,11108.0,22903.0
1,23,10.03,62,9,4576.0,26854.0
9,20,18.58,70,1,5170.0,33208.0
6,2,17.96,88,1,7986.0,23254.0
4,14,16.88,26,5,4002.0,36161.0
1,18,23.0,33,7,8028.0,27580.0
3,15,15.81,42,3,6229.0,31601.0
11,13,20.0,30,5,9150.0,30288.0
3,10,16.0,55,1,4109.0,31828.0
5,8,11.05,80,1,5859.0,20790.0
2,16,22.0,35,7,5218.0,24848.0
9,5,23.06,50,0,5829.0,21308.0
12,8,5.0,65,5,5253.0,35449.0
1,5,7.6,64,6,2914.0,24198.0
2,17,17.0,45,5,12433.0,35160.0
7,11,27.89,61,1,14303.0,27711.0
9,13,23.1,31,7,7169.0,32360.0
2,16,19.0,55,3,7781.0,28266.0
10,8,15.0,67,3,7969.0,29451.0
5,7,14.0,82,1,6264.0,19935.0
9,13,22.47,89,2,4343.0,32175.0
9,21,19.31,40,1,6585.0,32206.0
